id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,jenis_wisatawan,jumlah_pengunjung,satuan,tahun
56,32,JAWA BARAT,3202,KABUPATEN SUKABUMI,NUSANTARA,443795,ORANG,2015
57,32,JAWA BARAT,3203,KABUPATEN CIANJUR,MANCANEGARA,451,ORANG,2015
58,32,JAWA BARAT,3203,KABUPATEN CIANJUR,NUSANTARA,651,ORANG,2015
59,32,JAWA BARAT,3204,KABUPATEN BANDUNG,MANCANEGARA,77200,ORANG,2015
60,32,JAWA BARAT,3204,KABUPATEN BANDUNG,NUSANTARA,3965258,ORANG,2015
61,32,JAWA BARAT,3205,KABUPATEN GARUT,MANCANEGARA,29158,ORANG,2015
62,32,JAWA BARAT,3205,KABUPATEN GARUT,NUSANTARA,13583,ORANG,2015
63,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,MANCANEGARA,1476,ORANG,2015
64,32,JAWA BARAT,3206,KABUPATEN TASIKMALAYA,NUSANTARA,23400,ORANG,2015
65,32,JAWA BARAT,3207,KABUPATEN CIAMIS,MANCANEGARA,3505,ORANG,2015
66,32,JAWA BARAT,3207,KABUPATEN CIAMIS,NUSANTARA,70071,ORANG,2015
67,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,MANCANEGARA,0,ORANG,2015
68,32,JAWA BARAT,3208,KABUPATEN KUNINGAN,NUSANTARA,188727,ORANG,2015
69,32,JAWA BARAT,3209,KABUPATEN CIREBON,MANCANEGARA,1588,ORANG,2015
70,32,JAWA BARAT,3209,KABUPATEN CIREBON,NUSANTARA,130796,ORANG,2015
71,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,MANCANEGARA,0,ORANG,2015
72,32,JAWA BARAT,3210,KABUPATEN MAJALENGKA,NUSANTARA,70885,ORANG,2015
73,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,MANCANEGARA,3669,ORANG,2015
74,32,JAWA BARAT,3211,KABUPATEN SUMEDANG,NUSANTARA,71685,ORANG,2015
75,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,MANCANEGARA,251,ORANG,2015
76,32,JAWA BARAT,3212,KABUPATEN INDRAMAYU,NUSANTARA,41457,ORANG,2015
77,32,JAWA BARAT,3213,KABUPATEN SUBANG,MANCANEGARA,11709,ORANG,2015
78,32,JAWA BARAT,3213,KABUPATEN SUBANG,NUSANTARA,343296,ORANG,2015
79,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,MANCANEGARA,13917,ORANG,2015
80,32,JAWA BARAT,3214,KABUPATEN PURWAKARTA,NUSANTARA,313277,ORANG,2015
81,32,JAWA BARAT,3215,KABUPATEN KARAWANG,MANCANEGARA,61237,ORANG,2015
82,32,JAWA BARAT,3215,KABUPATEN KARAWANG,NUSANTARA,58971,ORANG,2015
83,32,JAWA BARAT,3216,KABUPATEN BEKASI,MANCANEGARA,63246,ORANG,2015
84,32,JAWA BARAT,3216,KABUPATEN BEKASI,NUSANTARA,186990,ORANG,2015
85,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,MANCANEGARA,278027,ORANG,2015
86,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,NUSANTARA,481114,ORANG,2015
87,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,MANCANEGARA,0,ORANG,2015
88,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,NUSANTARA,0,ORANG,2015
89,32,JAWA BARAT,3271,KOTA BOGOR,MANCANEGARA,142673,ORANG,2015
90,32,JAWA BARAT,3271,KOTA BOGOR,NUSANTARA,2978435,ORANG,2015
91,32,JAWA BARAT,3272,KOTA SUKABUMI,MANCANEGARA,3248,ORANG,2015
92,32,JAWA BARAT,3272,KOTA SUKABUMI,NUSANTARA,73716,ORANG,2015
93,32,JAWA BARAT,3273,KOTA BANDUNG,MANCANEGARA,176487,ORANG,2015
94,32,JAWA BARAT,3273,KOTA BANDUNG,NUSANTARA,4242294,ORANG,2015
95,32,JAWA BARAT,3274,KOTA CIREBON,MANCANEGARA,2943,ORANG,2015
96,32,JAWA BARAT,3274,KOTA CIREBON,NUSANTARA,94879,ORANG,2015
97,32,JAWA BARAT,3275,KOTA BEKASI,MANCANEGARA,6515,ORANG,2015
98,32,JAWA BARAT,3275,KOTA BEKASI,NUSANTARA,65808,ORANG,2015
99,32,JAWA BARAT,3276,KOTA DEPOK,MANCANEGARA,0,ORANG,2015
